power,q,omega,xi
20,0.157293033849196,2.04250064955399,0.532010116741597
30,0.163847983583556,18.0186641322263,0.761143317725469
40,0.168453169725886,0.902847232341669,0.779886941323127
50,0.171998376082584,3.41362027907555,0.846214396956463
60,0.173170890853548,12.7966949863985,0.844427001386053
65,0.174503103587325,14.9685068517169,0.859709892484572
70,0.173276427410486,14.5697098269341,0.804638061088172
75,0.173988675588609,14.756918170484,0.849280597215225
80,0.174955667094703,15.0400469953396,0.808279410644282
90,0.174598214945713,14.2055295581513,0.86382105744244
